adsorption_measurement.adsorption_energy,adsorption_measurement.method.software,adsorption_measurement.method.exchange_correlation,adsorption_measurement.method.basis_set,adsorption_measurement.method.potentials,adsorption_measurement.method.is_spin_polarization,adsorption_measurement.method.is_zero_point_energy,adsorption_measurement.method.is_fixed_substrate,adsorption_measurement.adsorbate_species.formula,adsorption_measurement.adsorbate_species.smiles,adsorption_measurement.adsorbate_species.molecular_formula,adsorption_measurement.adsorbate_species.connectivity_smiles,adsorption_measurement.bulk_surface_property_set.termination,adsorption_measurement.bulk_surface_property_set.space_group,adsorption_measurement.bulk_surface_property_set.bulk_surface_material.name,adsorption_measurement.bulk_surface_property_set.lattice_constant.lattice_constant_1,adsorption_measurement.bulk_surface_property_set.lattice_constant.lattice_constant_2,adsorption_measurement.bulk_surface_property_set.lattice_constant.lattice_constant_3,adsorption_measurement.bulk_surface_property_set.facet.name,adsorption_measurement.bulk_surface_property_set.cell_symmetry.name,adsorption_measurement.adsorbate_fraction.numeric,adsorption_measurement.adsorbate_fraction.unit,adsorption_measurement.adsorption_site.site_name,adsorbate_num_atoms,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,double,triple,termination_atomic_num,facet_num
-2.57,VASP,PW91,plane wave,ultrasoft pseudopotential,,,,NO,[N]=O,NO,[N][O],Rh,,Rh,3.85,,,(111),2x2,0.25,Rh,hollow hcp,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45.0,111
-2.64,VASP,PW91,plane wave,ultrasoft pseudopotential,,,,NO,[N]=O,NO,[N][O],Rh,,Rh,3.85,,,(100),4x4,0.0625,Rh,bridge,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45.0,100
-0.41,Dacapo,PW91,plane wave,ultrasoft pseudopotential,,False,True,HCOOH,OC=O,HCOOH,O[CH][O],Pd,,Pd,3.99,,,(111),3x3,0.1111,Pd,top-bridge,5,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46.0,111
-2.34,Dacapo,PW91,plane wave,ultrasoft pseudopotential,,False,True,HCOO,[O]C=O,HCOO,[O][CH][O],Pd,,Pd,3.99,,,(111),3x3,0.1111,Pd,top-top,4,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46.0,111
-2.22,Dacapo,PW91,plane wave,ultrasoft pseudopotential,,False,True,COOH,O[C]=O,COOH,O[C][O],Pd,,Pd,3.99,,,(111),3x3,0.1111,Pd,top,4,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46.0,111
-0.05,Dacapo,PW91,plane wave,ultrasoft pseudopotential,,False,True,CO2,O=C=O,CO2,[O][C][O],Pd,,Pd,3.99,,,(111),3x3,0.1111,Pd,,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,46.0,111
-1.99,Dacapo,PW91,plane wave,ultrasoft pseudopotential,,False,True,CO,[C]#[O],CO,[C][O],Pd,,Pd,3.99,,,(111),3x3,0.1111,Pd,fcc,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46.0,111
-2.26,Dacapo,PW91,plane wave,ultrasoft pseudopotential,,False,True,CHO,[CH]=O,CHO,[CH][O],Pd,,Pd,3.99,,,(111),3x3,0.1111,Pd,fcc,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46.0,111
-2.16,Dacapo,PW91,plane wave,ultrasoft pseudopotential,,False,True,OH,[OH],OH,[OH],Pd,,Pd,3.99,,,(111),3x3,0.1111,Pd,fcc,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,111
-0.31,Dacapo,PW91,plane wave,ultrasoft pseudopotential,,False,True,H2O,O,H2O,O,Pd,,Pd,3.99,,,(111),3x3,0.1111,Pd,top,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,111
