epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,5.999693393707275,1.7605348825454712,6.7980546951293945,1.7839436531066895
1,4.961982727050781,1.554218053817749,5.75065803527832,1.7067234516143799
2,4.225191116333008,1.4998685121536255,5.058488845825195,1.6448472738265991
3,3.732455253601074,1.4507304430007935,4.623446464538574,1.5934807062149048
4,3.507340669631958,1.4195884466171265,4.351535320281982,1.5663232803344727
5,3.40372633934021,1.4102710485458374,4.189496040344238,1.5592236518859863
6,3.238154649734497,1.4134447574615479,4.053814888000488,1.5539970397949219
7,3.2024624347686768,1.4100321531295776,3.958840847015381,1.5447607040405273
8,3.1152477264404297,1.4022777080535889,3.8874435424804688,1.5335007905960083
9,3.0892202854156494,1.39256751537323,3.8271374702453613,1.5205692052841187
10,3.037848711013794,1.3789161443710327,3.7769722938537598,1.507467269897461
11,2.9850337505340576,1.3690623044967651,3.72330904006958,1.4957667589187622
12,2.944673538208008,1.358518362045288,3.676074504852295,1.4829007387161255
13,2.9333906173706055,1.3458244800567627,3.631371021270752,1.470218300819397
14,2.8918614387512207,1.3349279165267944,3.581923723220825,1.4587762355804443
15,2.8356916904449463,1.3242135047912598,3.5386147499084473,1.4466266632080078
16,2.8144121170043945,1.3116823434829712,3.5033068656921387,1.4339947700500488
17,2.7826430797576904,1.302344799041748,3.4605987071990967,1.4225964546203613
18,2.7799875736236572,1.2897337675094604,3.4208080768585205,1.4111658334732056
19,2.7196357250213623,1.2797424793243408,3.3751304149627686,1.4011484384536743
20,2.670311689376831,1.2710652351379395,3.337794542312622,1.390385389328003
21,2.6710174083709717,1.2602851390838623,3.300732374191284,1.3800194263458252
22,2.641547918319702,1.250515341758728,3.262735366821289,1.3695012331008911
23,2.591168165206909,1.2433409690856934,3.2230560779571533,1.359671950340271
24,2.5705058574676514,1.2315889596939087,3.193927049636841,1.349900722503662
25,2.539285659790039,1.2246108055114746,3.151998996734619,1.3406381607055664
26,2.5003273487091064,1.2135471105575562,3.1218743324279785,1.3304048776626587
27,2.4840688705444336,1.2069430351257324,3.080719232559204,1.322297215461731
28,2.4790797233581543,1.1968557834625244,3.050656795501709,1.3123835325241089
29,2.4214019775390625,1.1902252435684204,3.009352207183838,1.3040289878845215
30,2.4152705669403076,1.1817076206207275,2.9860894680023193,1.2957065105438232
31,2.379926919937134,1.1744709014892578,2.945364236831665,1.2873331308364868
32,2.3517820835113525,1.1670500040054321,2.913846492767334,1.279486060142517
33,2.310788631439209,1.1607738733291626,2.880798816680908,1.2720998525619507
34,2.2969608306884766,1.1523150205612183,2.859717845916748,1.2643578052520752
35,2.268187999725342,1.1455830335617065,2.823245048522949,1.256933331489563
36,2.2594356536865234,1.1394754648208618,2.791994333267212,1.2496691942214966
37,2.2474305629730225,1.1321797370910645,2.7607221603393555,1.2429293394088745
38,2.203535556793213,1.126570224761963,2.7322182655334473,1.2357115745544434
39,2.179616689682007,1.1193552017211914,2.710047483444214,1.2284207344055176
40,2.155491590499878,1.1122606992721558,2.680479049682617,1.2215768098831177
41,2.1494414806365967,1.106801986694336,2.64927077293396,1.2144036293029785
42,2.1135363578796387,1.0992200374603271,2.6203420162200928,1.207409143447876
43,2.1031765937805176,1.0915608406066895,2.596118927001953,1.2001138925552368
44,2.0746192932128906,1.0858784914016724,2.5684914588928223,1.1935442686080933
45,2.0507802963256836,1.0805057287216187,2.5332305431365967,1.1865830421447754
46,2.0454235076904297,1.0736392736434937,2.512801170349121,1.179542899131775
47,2.014253854751587,1.0678199529647827,2.487288236618042,1.1727495193481445
48,1.9839847087860107,1.0610226392745972,2.464651107788086,1.1660901308059692
49,1.9638605117797852,1.055064082145691,2.4384045600891113,1.15914785861969
50,1.9622373580932617,1.0478558540344238,2.415879726409912,1.1525959968566895
51,1.9543774127960205,1.0416390895843506,2.392514705657959,1.146026611328125
52,1.9330896139144897,1.0376160144805908,2.361447334289551,1.139196753501892
53,1.9121387004852295,1.0314216613769531,2.34108567237854,1.1323213577270508
54,1.8760346174240112,1.0229557752609253,2.326401472091675,1.1261398792266846
55,1.8647264242172241,1.02017080783844,2.2986130714416504,1.1195554733276367
56,1.8616907596588135,1.009880781173706,2.2876315116882324,1.1133900880813599
57,1.8403997421264648,1.0070281028747559,2.257002115249634,1.1074320077896118
58,1.8222835063934326,1.0004816055297852,2.237338066101074,1.1007516384124756
59,1.8043761253356934,0.9964524507522583,2.2176437377929688,1.0945451259613037
60,1.7883676290512085,0.9884289503097534,2.1981635093688965,1.088248610496521
61,1.7776474952697754,0.9822944402694702,2.1831464767456055,1.081827163696289
62,1.7512154579162598,0.9766814112663269,2.1638691425323486,1.0764073133468628
63,1.764651894569397,0.973712146282196,2.1465768814086914,1.0710114240646362
64,1.7428081035614014,0.9668990969657898,2.127122402191162,1.065519094467163
65,1.7214090824127197,0.9602404832839966,2.116456985473633,1.0606954097747803
66,1.7057812213897705,0.9569929838180542,2.0925354957580566,1.0562933683395386
67,1.6962802410125732,0.9523962140083313,2.0804481506347656,1.051274061203003
68,1.6888439655303955,0.9484362006187439,2.0639305114746094,1.046199917793274
69,1.6626253128051758,0.9425960183143616,2.050827741622925,1.0415552854537964
70,1.6591891050338745,0.9374361038208008,2.032810688018799,1.0370829105377197
71,1.6386816501617432,0.9331784844398499,2.0197110176086426,1.0331100225448608
72,1.6345678567886353,0.9294141530990601,2.0042083263397217,1.0283501148223877
